model,document,method,item_count,execution_time_seconds,status
legacy,DRK Geburtshilfe Infos,uie,15,141.84,success
legacy,DRK Geburtshilfe Infos,naive,21,290.05,success
legacy,DRK Geburtshilfe Infos,cot,10,190.85,success
legacy,DRK Geburtshilfe Infos,atomic,0,599.99,failed
legacy,Geburtseinleitung,atomic,30,431.68,success
legacy,Geburtseinleitung,cot,8,137.59,success
legacy,Geburtseinleitung,naive,20,227.76,success
legacy,Geburtseinleitung,uie,11,86.87,success
legacy,Narkose,cot,10,159.23,success
legacy,Narkose,uie,21,138.95,success
legacy,Narkose,atomic,0,599.99,failed
legacy,Narkose,naive,22,270.94,success
legacy,Geburtshilfliche Maßnahmen,naive,16,268.5,success
legacy,Geburtshilfliche Maßnahmen,uie,19,204.74,success
legacy,Geburtshilfliche Maßnahmen,atomic,11,662.86,success
legacy,Geburtshilfliche Maßnahmen,cot,10,187.12,success
legacy,Kaiserschnitt,uie,19,180.05,success
legacy,Kaiserschnitt,atomic,26,512.23,success
legacy,Kaiserschnitt,cot,10,164.86,success
legacy,Kaiserschnitt,naive,20,245.37,success
legacy,Äußere Wendung,cot,9,105.64,success
legacy,Äußere Wendung,atomic,15,272.49,success
legacy,Äußere Wendung,naive,16,158.64,success
legacy,Äußere Wendung,uie,23,105.16,success
gpt-5-mini,DRK Geburtshilfe Infos,uie,15,67.21,success
gpt-5-mini,DRK Geburtshilfe Infos,naive,28,41.08,success
gpt-5-mini,DRK Geburtshilfe Infos,cot,25,39.4,success
gpt-5-mini,DRK Geburtshilfe Infos,atomic,24,70.04,success
gpt-5-mini,Geburtseinleitung,atomic,20,73.21,success
gpt-5-mini,Geburtseinleitung,cot,14,42.6,success
gpt-5-mini,Geburtseinleitung,naive,26,36.08,success
gpt-5-mini,Geburtseinleitung,uie,20,71.75,success
gpt-5-mini,Narkose,cot,30,61.8,success
gpt-5-mini,Narkose,uie,27,46.05,success
gpt-5-mini,Narkose,atomic,35,126.08,success
gpt-5-mini,Narkose,naive,49,67.25,success
gpt-5-mini,Geburtshilfliche Maßnahmen,naive,41,63.91,success
gpt-5-mini,Geburtshilfliche Maßnahmen,uie,25,82.1,success
gpt-5-mini,Geburtshilfliche Maßnahmen,atomic,25,87.12,success
gpt-5-mini,Geburtshilfliche Maßnahmen,cot,27,58.4,success
gpt-5-mini,Kaiserschnitt,uie,20,54.68,success
gpt-5-mini,Kaiserschnitt,atomic,29,101.21,success
gpt-5-mini,Kaiserschnitt,cot,21,56.3,success
gpt-5-mini,Kaiserschnitt,naive,41,55.0,success
gpt-5-mini,Äußere Wendung,cot,19,38.9,success
gpt-5-mini,Äußere Wendung,atomic,18,55.11,success
gpt-5-mini,Äußere Wendung,naive,24,35.76,success
gpt-5-mini,Äußere Wendung,uie,18,56.85,success
qwen3-4b,DRK Geburtshilfe Infos,uie,11,172.71,success
qwen3-4b,DRK Geburtshilfe Infos,naive,19,164.08,success
qwen3-4b,DRK Geburtshilfe Infos,cot,10,175.28,success
qwen3-4b,DRK Geburtshilfe Infos,atomic,15,356.48,success
qwen3-4b,Geburtseinleitung,atomic,31,284.12,success
qwen3-4b,Geburtseinleitung,cot,8,100.97,success
qwen3-4b,Geburtseinleitung,naive,10,110.84,success
qwen3-4b,Geburtseinleitung,uie,10,115.07,success
qwen3-4b,Narkose,cot,10,162.24,success
qwen3-4b,Narkose,uie,10,160.29,success
qwen3-4b,Narkose,atomic,0,600.0,failed
qwen3-4b,Narkose,naive,10,135.45,success
qwen3-4b,Geburtshilfliche Maßnahmen,naive,10,147.95,success
qwen3-4b,Geburtshilfliche Maßnahmen,uie,11,169.1,success
qwen3-4b,Geburtshilfliche Maßnahmen,atomic,10,221.66,success
qwen3-4b,Geburtshilfliche Maßnahmen,cot,10,172.43,success
qwen3-4b,Kaiserschnitt,uie,10,136.46,success
qwen3-4b,Kaiserschnitt,atomic,0,1042.6,failed
qwen3-4b,Kaiserschnitt,cot,8,137.17,success
qwen3-4b,Kaiserschnitt,naive,11,119.84,success
qwen3-4b,Äußere Wendung,cot,7,103.35,success
qwen3-4b,Äußere Wendung,atomic,20,251.08,success
qwen3-4b,Äußere Wendung,naive,9,90.87,success
qwen3-4b,Äußere Wendung,uie,7,93.91,success
