Model,Method,Mean Precision,Mean Recall,Mean F1
Ministral-14B,UIE,0.5504,0.6252,0.5715
GPT-5 Mini,Naïve,0.4588,0.7581,0.5674
GPT-5 Mini,CoT,0.4635,0.7085,0.5532
Ministral-14B,CoT,0.6125,0.4958,0.533
GPT-5 Mini,UIE,0.48,0.5933,0.5243
GPT-OSS-20B,Naïve,0.5119,0.5394,0.524
GPT-5 Mini,Atomic,0.3829,0.7698,0.5038
Qwen3-32B,Naïve,0.5252,0.4719,0.4856
GPT-OSS-20B,CoT,0.4709,0.5039,0.4782
Ministral-14B,Naïve,0.4395,0.5693,0.4678
Qwen3-32B,CoT,0.531,0.4155,0.4523
GPT-OSS-20B,Atomic,0.4345,0.4601,0.4295
Ministral-14B,Atomic,0.4313,0.4274,0.4246
Qwen3-32B,UIE,0.4625,0.3087,0.3654
Qwen3-32B,Atomic,0.4269,0.3118,0.3473
GPT-OSS-20B,UIE,0.408,0.3518,0.3457
