Model,Method,SUSWIR,SSF,RDF,REF,BAF
GPT-5 Mini,Naïve,0.6563,0.5102,0.8885,0.4451,0.7813
GPT-5 Mini,CoT,0.6399,0.5202,0.8642,0.3882,0.787
GPT-5 Mini,Atomic,0.6356,0.5098,0.8797,0.4162,0.7367
Ministral-14B,Naïve,0.6199,0.5002,0.8558,0.3262,0.7973
Ministral-14B,UIE,0.6199,0.5134,0.8767,0.3008,0.7884
GPT-5 Mini,UIE,0.6193,0.5249,0.8464,0.318,0.7877
GPT-OSS-20B,Naïve,0.6135,0.4717,0.9222,0.2941,0.7658
GPT-OSS-20B,CoT,0.6097,0.4794,0.9189,0.2709,0.7694
Ministral-14B,CoT,0.5992,0.5188,0.8751,0.2378,0.7651
Qwen3-32B,UIE,0.5812,0.4985,0.8976,0.1623,0.7664
Qwen3-32B,Naïve,0.5806,0.4832,0.8848,0.2096,0.7449
GPT-OSS-20B,UIE,0.5786,0.47,0.8921,0.1909,0.7614
Qwen3-32B,CoT,0.5668,0.5165,0.8269,0.1669,0.7567
GPT-OSS-20B,Atomic,0.5346,0.5071,0.8092,0.1674,0.6547
Qwen3-32B,Atomic,0.5063,0.5025,0.744,0.1148,0.664
Ministral-14B,Atomic,0.4895,0.5084,0.6423,0.1662,0.6412
