Model,Method,Mean F1,F1 Rank,Mean SUSWIR,SUSWIR Rank
Ministral-14B,UIE,0.5715,1,0.6199,5
GPT-5 Mini,Naïve,0.5674,2,0.6563,1
GPT-5 Mini,CoT,0.5532,3,0.6399,2
Ministral-14B,CoT,0.533,4,0.5992,9
GPT-5 Mini,UIE,0.5243,5,0.6193,6
GPT-OSS-20B,Naïve,0.524,6,0.6135,7
GPT-5 Mini,Atomic,0.5038,7,0.6356,3
Qwen3-32B,Naïve,0.4856,8,0.5806,11
GPT-OSS-20B,CoT,0.4782,9,0.6097,8
Ministral-14B,Naïve,0.4678,10,0.6199,4
Qwen3-32B,CoT,0.4523,11,0.5668,13
GPT-OSS-20B,Atomic,0.4295,12,0.5346,14
Ministral-14B,Atomic,0.4246,13,0.4895,16
Qwen3-32B,UIE,0.3654,14,0.5812,10
Qwen3-32B,Atomic,0.3473,15,0.5063,15
GPT-OSS-20B,UIE,0.3457,16,0.5786,12
