Model,Method,Mean F1,F1 Rank,Mean SUSWIR,SUSWIR Rank,Combined Rank
GPT-5 Mini,Naïve,0.5674,2,0.6563,1,1.5
GPT-5 Mini,CoT,0.5532,3,0.6399,2,2.5
Ministral-14B,UIE,0.5715,1,0.6199,5,3.0
GPT-5 Mini,Atomic,0.5038,7,0.6356,3,5.0
GPT-5 Mini,UIE,0.5243,5,0.6193,6,5.5
GPT-OSS-20B,Naïve,0.524,6,0.6135,7,6.5
Ministral-14B,CoT,0.533,4,0.5992,9,6.5
Ministral-14B,Naïve,0.4678,10,0.6199,4,7.0
GPT-OSS-20B,CoT,0.4782,9,0.6097,8,8.5
Qwen3-32B,Naïve,0.4856,8,0.5806,11,9.5
Qwen3-32B,CoT,0.4523,11,0.5668,13,12.0
Qwen3-32B,UIE,0.3654,14,0.5812,10,12.0
GPT-OSS-20B,Atomic,0.4295,12,0.5346,14,13.0
GPT-OSS-20B,UIE,0.3457,16,0.5786,12,14.0
Ministral-14B,Atomic,0.4246,13,0.4895,16,14.5
Qwen3-32B,Atomic,0.3473,15,0.5063,15,15.0
