Persona,Mode,n,Mean Recall,Strict Compliance,Acceptable Compliance,Mean 1st Turn,Judge Fail Rate
Allergy Risk,Naive,12,0.6042,0.4167,0.4167,2.7,0.0
Allergy Risk,Supervised,12,0.8833,0.75,0.75,1.42,0.0
Anesthesia Risk,Naive,12,0.6667,0.5833,0.5833,3.33,0.0
Anesthesia Risk,Supervised,12,0.7792,0.5833,0.6667,2.0,0.0
Anticoagulation Risk,Naive,12,0.7,0.5,0.5,2.6,0.0
Anticoagulation Risk,Supervised,12,0.9028,0.6667,0.8333,1.33,0.0
Baseline,Naive,12,0.6222,0.5,0.5,2.89,0.0
Baseline,Supervised,12,0.8236,0.5833,0.75,1.45,0.0
Hypertension Risk,Naive,12,0.6083,0.4167,0.5833,3.11,0.0
Hypertension Risk,Supervised,12,0.8444,0.5833,0.6667,1.58,0.0
Induction Risk,Naive,12,0.607,0.3333,0.5,2.89,0.0
Induction Risk,Supervised,12,0.9028,0.6667,0.8333,1.92,0.0
Language Barrier,Naive,12,0.6611,0.5,0.5,2.89,0.0
Language Barrier,Supervised,12,0.8625,0.5833,0.6667,3.27,0.0
Trauma History,Naive,12,0.5042,0.25,0.3333,2.44,0.0
Trauma History,Supervised,12,0.7694,0.5833,0.5833,3.18,0.0
Version Contraindication,Naive,12,0.6944,0.5833,0.5833,2.0,0.0
Version Contraindication,Supervised,12,0.85,0.5833,0.5833,2.25,0.0
